Ticker,VOO,MELI,QCOM,GOOGL,CEG,AMD,BWXT,MSFT,LHX,AVGO,DECK,VEEV,ADBE
VOO,1.0,0.3983457713645053,0.6056587530653907,0.5862067466542783,0.44324627230853764,0.6103505372620703,0.48314722915768865,0.6214047493020822,0.269112046180411,0.622572910228614,0.4376254605552493,0.32703516080180906,0.4196976053517956
MELI,0.3983457713645053,1.0,0.17977289293284007,0.28150883277873645,0.17646840776168865,0.27996717800718296,0.17956867575668986,0.2883248121001918,0.14971189618215383,0.20991297631911682,0.19360110012023057,0.21684569783419197,0.2609009950447034
QCOM,0.6056587530653907,0.17977289293284007,1.0,0.33749649512480157,0.2962874847917308,0.5281123747208664,0.23251463078107218,0.29610965434305375,0.07116348902137339,0.47304488926422744,0.30981019142365734,0.19467309497263197,0.2637330277616485
GOOGL,0.5862067466542783,0.28150883277873645,0.33749649512480157,1.0,0.2513384821948942,0.39260449265792596,0.2576278718447321,0.3765483497032261,0.08920636948447667,0.3589649823867035,0.22799613816470202,0.1187354339928749,0.2829738607953467
CEG,0.44324627230853764,0.17646840776168865,0.2962874847917308,0.2513384821948942,1.0,0.35554394049366406,0.4512666024464673,0.2559182931658981,0.08528046688809528,0.4302658387875701,0.21403897385678108,0.09197900852805525,0.06872760565216528
AMD,0.6103505372620703,0.27996717800718296,0.5281123747208664,0.39260449265792596,0.35554394049366406,1.0,0.364445911063954,0.3667991258035779,0.06392937600785199,0.48809689147428803,0.26121355261977014,0.14142290241312547,0.1889183152773144
BWXT,0.48314722915768865,0.17956867575668986,0.23251463078107218,0.2576278718447321,0.4512666024464673,0.364445911063954,1.0,0.2404588418552477,0.3892829379595256,0.3638563595393911,0.19455895140813192,0.10067636433344687,0.0512831566679193
MSFT,0.6214047493020822,0.2883248121001918,0.29610965434305375,0.3765483497032261,0.2559182931658981,0.3667991258035779,0.2404588418552477,1.0,0.07061536640642803,0.40861677588337647,0.23082381243783015,0.33771602071572754,0.4555413632703629
LHX,0.269112046180411,0.14971189618215383,0.07116348902137339,0.08920636948447667,0.08528046688809528,0.06392937600785199,0.3892829379595256,0.07061536640642803,1.0,0.057412837010681145,0.0793145824704879,0.1343819709450292,0.02001204490546139
AVGO,0.622572910228614,0.20991297631911682,0.47304488926422744,0.3589649823867035,0.4302658387875701,0.48809689147428803,0.3638563595393911,0.40861677588337647,0.057412837010681145,1.0,0.24923161319270679,0.17643343802727068,0.24025065921856065
DECK,0.4376254605552493,0.19360110012023057,0.30981019142365734,0.22799613816470202,0.21403897385678108,0.26121355261977014,0.19455895140813192,0.23082381243783015,0.0793145824704879,0.24923161319270679,1.0,0.13878002553330562,0.20576882539174324
VEEV,0.32703516080180906,0.21684569783419197,0.19467309497263197,0.1187354339928749,0.09197900852805525,0.14142290241312547,0.10067636433344687,0.33771602071572754,0.1343819709450292,0.17643343802727068,0.13878002553330562,1.0,0.3781836305339493
ADBE,0.4196976053517956,0.2609009950447034,0.2637330277616485,0.2829738607953467,0.06872760565216528,0.1889183152773144,0.0512831566679193,0.4555413632703629,0.02001204490546139,0.24025065921856065,0.20576882539174324,0.3781836305339493,1.0
